2020-02-02 17:13:01,630: Key.shift_r
2020-02-02 17:13:02,366: 'T'
2020-02-02 17:13:02,676: 'h'
2020-02-02 17:13:02,746: 'i'
2020-02-02 17:13:02,844: 's'
2020-02-02 17:13:02,927: Key.space
2020-02-02 17:13:03,084: 'i'
2020-02-02 17:13:03,197: 's'
2020-02-02 17:13:03,316: Key.space
2020-02-02 17:13:03,426: 'a'
2020-02-02 17:13:03,536: Key.space
2020-02-02 17:13:04,035: 't'
2020-02-02 17:13:04,111: 'e'
2020-02-02 17:13:04,182: 's'
2020-02-02 17:13:04,293: 't'
2020-02-02 17:13:06,545: Key.shift_r
2020-02-02 17:13:06,787: '!'
2020-02-02 17:13:09,829: Key.ctrl
2020-02-02 17:13:09,899: 'c'
